box_id,box_length_cm,box_width_cm,box_height_cm,material_type,thickness_mm,product_weight_kg,strength_score,strength_risk
1,50.5,56.5,13.0,recycled_kraft,2.5,2.7,25.4,High
2,20.0,40.5,18.0,standard_corrugated,4.0,3.9,47.1,High
3,40.0,43.5,30.5,double_wall_corrugated,5.7,6.78,83.4,Low
4,20.5,12.5,26.0,standard_corrugated,3.6,3.5,47.2,High
5,33.0,27.5,5.0,standard_corrugated,4.0,1.53,52.2,Medium
6,36.0,37.5,5.0,corrugated,3.9,1.28,54.7,Medium
7,31.5,14.5,30.0,standard_corrugated,3.8,2.79,56.8,Medium
8,18.0,36.5,36.0,double_wall_corrugated,6.8,2.09,94.5,Low
9,65.5,31.0,13.0,recycled_kraft,3.3,3.05,24.8,High
10,30.0,33.0,21.5,heavy_duty_corrugated,6.3,5.56,91.9,Low
11,28.5,25.5,8.0,lightweight_cardboard,2.5,0.86,17.7,High
12,39.5,14.5,20.0,food_grade_cardboard,2.7,0.59,33.9,High
13,33.0,39.5,26.5,heavy_duty_corrugated,7.1,6.97,100.0,Low
14,15.5,34.5,13.0,double_wall_corrugated,6.8,2.56,94.3,Low
15,30.5,40.5,15.5,standard_corrugated,3.7,3.07,52.2,Medium
16,42.0,24.0,24.0,double_wall_corrugated,5.4,3.34,83.3,Low
17,16.5,26.0,32.0,standard_corrugated,3.2,0.94,50.9,Medium
18,56.0,39.0,18.0,recycled_kraft,2.3,3.67,22.7,High
19,38.5,32.0,23.5,corrugated,4.8,0.85,55.0,Medium
20,26.0,24.5,12.0,recycled_kraft,2.7,1.73,31.7,High
21,27.5,14.5,4.5,lightweight_cardboard,1.9,0.53,15.0,High
22,61.0,14.0,45.0,corrugated,4.1,1.5,42.6,High
23,21.0,16.0,39.0,double_wall_corrugated,6.3,2.96,82.5,Low
24,40.0,34.0,29.0,food_grade_cardboard,3.3,3.54,35.2,High
25,26.5,26.0,6.5,standard_corrugated,3.7,3.39,47.2,High
26,36.0,39.5,10.0,corrugated,3.6,1.12,38.7,High
27,15.0,29.5,19.0,standard_corrugated,3.6,2.82,53.0,Medium
28,55.0,25.0,30.5,standard_corrugated,3.6,1.28,60.2,Medium
29,44.5,12.5,10.0,double_wall_corrugated,6.3,5.14,88.1,Low
30,24.5,20.5,14.0,recycled_kraft,2.9,1.92,32.1,High
31,50.0,17.0,33.5,double_wall_corrugated,6.9,3.38,92.2,Low
32,27.0,36.5,26.0,corrugated,3.7,1.78,46.1,High
33,39.5,35.0,35.5,standard_corrugated,3.8,0.63,54.7,Medium
34,33.5,27.5,24.5,standard_corrugated,3.9,2.19,51.4,Medium
35,45.0,52.0,5.5,recycled_kraft,3.4,0.43,32.9,High
36,11.5,37.0,12.0,double_wall_corrugated,6.6,2.53,93.0,Low
37,37.5,35.5,13.5,double_wall_corrugated,6.0,2.83,85.5,Low
38,33.5,16.5,6.5,lightweight_cardboard,1.9,0.6,15.0,High
39,30.0,21.0,36.0,double_wall_corrugated,6.1,2.63,87.7,Low
40,33.5,30.5,6.5,lightweight_cardboard,2.2,0.42,15.0,High
41,43.0,30.5,14.5,recycled_kraft,2.7,2.72,28.8,High
42,57.0,22.0,11.0,recycled_kraft,3.5,2.78,27.5,High
43,44.5,17.0,13.5,heavy_duty_corrugated,6.6,5.54,95.0,Low
44,11.5,18.5,26.0,corrugated,4.2,0.9,51.2,Medium
45,25.5,34.5,46.0,double_wall_corrugated,5.3,3.56,87.5,Low
46,71.0,35.0,18.0,recycled_kraft,3.2,1.75,29.9,High
47,36.0,26.0,34.0,corrugated,3.6,1.37,45.7,High
48,18.5,21.5,21.0,standard_corrugated,4.0,2.76,56.7,Medium
49,30.5,29.5,9.0,standard_corrugated,4.4,2.16,61.8,Medium
50,35.0,28.0,40.5,heavy_duty_corrugated,7.1,4.81,99.1,Low
51,43.5,19.5,36.5,corrugated,3.8,1.15,46.9,High
52,23.0,34.5,29.5,double_wall_corrugated,6.2,5.85,82.3,Low
53,35.5,36.0,28.5,double_wall_corrugated,6.4,3.97,84.4,Low
54,30.0,19.0,10.0,standard_corrugated,4.4,1.67,55.4,Medium
55,33.0,30.5,19.0,heavy_duty_corrugated,6.4,4.17,92.0,Low
56,21.0,12.5,11.5,food_grade_cardboard,3.5,2.39,34.8,High
57,25.5,24.5,5.5,standard_corrugated,3.7,0.46,54.8,Medium
58,63.5,25.0,5.0,recycled_kraft,3.1,2.73,32.0,High
59,28.0,29.0,6.5,standard_corrugated,3.1,1.03,50.6,Medium
60,30.5,38.5,27.5,double_wall_corrugated,6.5,5.87,90.7,Low
61,34.5,21.5,5.0,lightweight_cardboard,2.5,0.37,15.0,High
62,53.0,45.0,15.5,recycled_kraft,2.4,0.88,16.7,High
63,51.0,31.5,19.0,recycled_kraft,2.0,2.09,18.9,High
64,42.5,21.5,17.5,recycled_kraft,2.5,1.42,25.9,High
65,20.0,13.5,10.0,lightweight_cardboard,2.1,0.53,15.0,High
66,13.5,31.5,11.5,double_wall_corrugated,5.4,2.72,87.8,Low
67,42.5,8.0,6.0,double_wall_corrugated,5.6,2.97,91.4,Low
68,37.0,31.5,20.5,standard_corrugated,3.2,0.79,54.4,Medium
69,27.5,30.5,16.5,double_wall_corrugated,5.8,2.14,86.8,Low
70,32.5,18.5,13.5,heavy_duty_corrugated,6.2,4.3,99.3,Low
71,19.5,28.5,4.5,standard_corrugated,4.1,2.06,55.3,Medium
72,33.0,22.5,21.5,food_grade_cardboard,3.1,0.67,33.4,High
73,36.5,25.0,37.0,double_wall_corrugated,6.8,3.98,88.4,Low
74,40.5,26.5,27.0,corrugated,4.0,1.04,46.8,High
75,33.5,16.0,15.0,lightweight_cardboard,2.1,0.11,15.0,High
76,33.0,16.5,10.5,standard_corrugated,3.5,1.16,53.2,Medium
77,17.5,16.0,31.5,corrugated,4.8,1.56,54.1,Medium
78,59.5,56.0,17.0,recycled_kraft,3.1,2.53,26.8,High
79,37.5,23.0,7.0,double_wall_corrugated,6.5,3.72,92.4,Low
80,61.0,53.5,13.0,recycled_kraft,2.7,1.48,30.5,High
81,20.0,37.0,26.5,corrugated,4.3,1.59,53.8,Medium
82,31.0,28.0,6.0,standard_corrugated,3.6,1.11,47.4,High
83,26.5,24.5,9.0,standard_corrugated,4.1,0.34,46.1,High
84,41.0,22.5,36.0,heavy_duty_corrugated,7.1,5.55,100.0,Low
85,65.5,39.0,8.5,recycled_kraft,2.9,3.65,22.0,High
86,24.0,34.0,18.5,standard_corrugated,3.9,3.48,51.5,Medium
87,30.0,15.5,31.5,double_wall_corrugated,6.8,2.15,88.0,Low
88,36.0,16.5,30.5,double_wall_corrugated,6.7,3.33,84.2,Low
89,21.0,41.0,9.5,double_wall_corrugated,6.0,3.82,90.2,Low
90,51.0,44.5,8.5,recycled_kraft,3.3,1.42,33.4,High
91,32.5,30.5,18.5,corrugated,3.9,1.76,45.8,High
92,16.0,20.5,37.0,double_wall_corrugated,6.8,2.62,82.2,Low
93,23.0,21.0,11.5,standard_corrugated,4.0,1.33,52.6,Medium
94,34.5,33.0,29.5,heavy_duty_corrugated,6.2,5.89,93.8,Low
95,20.0,22.5,10.5,standard_corrugated,4.0,0.58,49.8,High
96,26.5,36.5,9.0,standard_corrugated,4.1,3.97,54.3,Medium
97,32.5,25.5,5.5,standard_corrugated,4.3,0.58,57.3,Medium
98,47.0,40.5,11.0,double_wall_corrugated,5.9,2.12,90.2,Low
99,30.5,44.5,15.0,lightweight_cardboard,1.6,0.53,15.0,High
100,56.5,51.0,8.0,recycled_kraft,3.0,2.03,24.5,High
101,56.0,26.0,6.5,recycled_kraft,2.2,2.29,30.1,High
102,13.0,20.5,22.0,food_grade_cardboard,3.2,2.86,33.6,High
103,40.0,25.0,14.0,heavy_duty_corrugated,6.1,4.47,92.9,Low
104,41.0,31.5,23.5,heavy_duty_corrugated,6.7,4.61,91.5,Low
