product_id,product_length,product_width,product_height,product_weight,product_category,fragility_level,box_length,box_width,box_height,material_type,material_thickness,strength_score,cost_usd,carbon_footprint_kg,material_saved_percent,shipping_efficiency,sustainability_score,recyclability_rating,production_date
1,38.42,27.76,16.97,1.46,food,low,43.5,32.0,20.0,food_grade_cardboard,2.7,45.0,0.4,0.18,19.1,50.6,57.5,3,2024-11-13
2,21.48,16.67,12.86,3.08,fragile,medium,28.5,23.0,18.5,standard_corrugated,3.8,51.7,0.32,0.16,19.5,52.8,57.6,4,2023-08-25
3,38.03,8.02,24.84,3.88,food,medium,47.5,12.0,32.0,food_grade_cardboard,4.0,45.0,0.42,0.22,19.1,50.5,58.9,3,2024-12-01
4,21.48,14.37,5.67,0.64,books,low,27.0,19.0,9.5,lightweight_cardboard,2.4,45.0,0.21,0.11,18.6,50.6,56.2,4,2024-06-15
5,13.62,27.79,16.47,3.5,toys,medium,17.5,34.0,21.0,standard_corrugated,3.5,45.0,0.32,0.16,25.5,53.2,69.7,4,2024-11-15
6,24.11,12.56,2.39,2.44,books,high,31.0,17.0,5.0,double_wall_corrugated,6.1,88.4,0.31,0.16,20.5,64.2,55.5,3,2024-10-18
7,35.42,15.56,5.77,0.96,clothing,low,40.5,18.5,8.0,recycled_kraft,2.8,45.0,0.25,0.11,18.8,50.7,59.6,5,2024-07-31
8,23.85,8.93,23.19,1.66,food,medium,30.5,13.0,29.5,food_grade_cardboard,3.5,45.0,0.33,0.16,14.0,48.6,46.3,3,2023-08-14
9,37.01,22.28,9.81,0.36,clothing,medium,45.5,28.5,14.5,recycled_kraft,3.0,45.0,0.35,0.15,21.2,51.5,61.9,5,2024-03-09
10,38.06,32.16,16.96,7.51,food,low,45.5,38.5,21.5,heavy_duty_corrugated,7.1,69.2,0.84,0.54,19.7,57.0,53.0,3,2024-03-29
11,9.45,16.78,12.77,1.59,food,high,13.0,22.0,17.0,corrugated,3.5,46.3,0.25,0.13,13.8,49.0,49.3,4,2023-05-07
12,58.61,36.25,6.31,1.44,clothing,low,66.0,41.5,8.5,recycled_kraft,3.4,45.0,0.47,0.2,22.9,52.1,62.6,5,2024-10-03
13,39.54,28.17,7.37,0.16,electronics,high,50.0,36.0,11.5,corrugated,3.6,45.4,0.44,0.23,20.1,51.0,60.1,4,2024-03-02
14,29.9,28.71,16.33,6.59,electronics,high,39.0,37.5,22.5,double_wall_corrugated,6.0,76.6,0.75,0.47,20.3,59.7,49.8,3,2024-02-05
15,35.62,24.83,11.62,0.66,food,medium,43.5,31.0,16.0,food_grade_cardboard,3.9,45.0,0.44,0.21,20.4,51.0,56.5,3,2023-03-14
16,25.94,19.56,7.32,1.49,books,low,30.5,23.5,10.0,standard_corrugated,3.7,48.6,0.28,0.14,13.8,49.7,51.9,4,2023-05-28
17,43.96,31.1,12.08,1.26,toys,low,50.5,36.5,15.5,standard_corrugated,3.1,45.0,0.44,0.22,27.5,53.8,68.6,4,2024-02-25
18,21.02,18.78,3.38,2.06,clothing,low,24.5,22.0,5.0,recycled_kraft,2.3,45.0,0.2,0.1,19.2,50.9,60.5,5,2024-03-11
19,37.04,14.73,13.21,4.65,food,low,44.5,19.0,17.5,heavy_duty_corrugated,6.7,79.9,0.52,0.32,12.9,58.2,44.1,3,2024-08-13
20,27.37,27.61,22.49,2.1,fragile,medium,33.5,34.0,28.0,standard_corrugated,3.1,45.0,0.41,0.22,19.1,50.5,56.6,4,2023-10-09
21,33.72,13.04,22.85,3.63,food,high,44.5,19.0,31.0,double_wall_corrugated,5.8,80.9,0.63,0.39,26.4,63.7,56.9,3,2024-02-13
22,19.4,32.48,10.44,3.96,food,low,24.5,39.0,14.5,food_grade_cardboard,3.0,45.0,0.33,0.15,24.3,52.8,61.8,3,2023-11-16
23,27.91,10.1,5.06,1.27,books,low,32.5,13.0,7.5,standard_corrugated,4.2,55.1,0.23,0.12,17.4,53.1,56.4,4,2024-02-19
24,16.74,14.88,13.37,1.22,fragile,high,22.0,19.5,18.0,corrugated,3.7,57.7,0.26,0.14,20.8,55.2,57.4,4,2024-01-04
25,19.64,34.24,24.25,2.1,food,medium,25.5,42.5,31.0,food_grade_cardboard,3.5,45.0,0.46,0.23,14.6,48.6,45.9,3,2024-01-29
26,10.18,34.93,8.87,5.35,electronics,high,14.0,44.0,12.0,double_wall_corrugated,5.8,76.9,0.37,0.22,27.3,63.3,71.1,3,2024-02-26
27,20.18,19.52,6.08,1.57,books,low,24.0,23.5,8.5,standard_corrugated,3.9,48.4,0.24,0.14,23.3,53.4,62.7,4,2024-09-12
28,19.68,29.51,27.85,1.17,toys,medium,26.0,37.0,35.0,standard_corrugated,3.3,45.0,0.44,0.24,18.0,50.0,49.1,4,2024-09-27
29,24.48,19.5,5.21,0.54,books,medium,30.5,25.0,8.5,standard_corrugated,3.9,49.5,0.28,0.15,17.1,51.2,52.4,4,2024-08-19
30,24.26,26.79,22.17,2.53,food,low,29.0,32.0,26.5,food_grade_cardboard,3.5,45.0,0.41,0.2,15.8,49.2,49.9,3,2024-05-10
31,40.48,22.93,10.74,0.89,clothing,low,46.0,27.0,13.5,recycled_kraft,2.1,45.0,0.3,0.12,29.3,54.9,76.4,5,2024-04-16
32,53.51,38.65,11.82,1.36,clothing,low,62.0,45.5,16.0,recycled_kraft,3.2,45.0,0.53,0.21,23.9,52.4,63.8,5,2023-04-08
33,30.32,38.1,12.81,2.53,clothing,low,35.0,43.5,15.5,recycled_kraft,3.3,45.0,0.37,0.17,21.5,51.6,59.0,5,2024-01-07
34,59.85,48.79,9.7,4.94,clothing,low,69.5,57.0,12.5,heavy_duty_corrugated,5.6,65.6,1.03,0.64,16.2,54.2,40.8,3,2023-06-01
35,17.22,26.78,22.74,5.85,electronics,high,23.0,34.5,29.5,double_wall_corrugated,6.2,83.3,0.61,0.37,21.4,62.4,58.9,3,2023-03-22
36,10.69,12.36,22.97,3.39,food,low,13.5,15.5,27.5,food_grade_cardboard,3.4,45.0,0.25,0.13,21.6,51.8,61.3,3,2023-01-17
37,47.61,39.16,13.52,1.73,toys,medium,58.0,48.0,18.5,standard_corrugated,3.0,45.0,0.54,0.29,12.9,47.8,42.1,4,2024-09-04
38,26.3,14.49,24.24,1.5,fragile,high,34.0,20.0,31.5,corrugated,4.0,50.3,0.42,0.23,14.3,50.1,46.5,4,2023-03-11
39,19.73,28.09,19.42,2.22,food,medium,25.0,35.0,25.0,food_grade_cardboard,4.0,45.0,0.39,0.21,15.2,49.0,46.4,3,2024-05-26
40,19.19,15.3,14.88,4.41,fragile,high,27.0,22.0,21.5,double_wall_corrugated,6.1,85.2,0.46,0.27,13.1,60.0,48.9,3,2023-08-26
41,46.24,21.9,15.5,2.9,toys,medium,55.0,27.0,19.5,standard_corrugated,4.4,55.4,0.47,0.28,14.0,51.4,47.4,4,2024-02-19
42,11.83,26.67,9.18,0.24,electronics,high,15.5,33.5,12.5,corrugated,4.5,66.8,0.28,0.16,15.8,55.9,49.4,4,2023-02-26
43,39.81,19.1,9.15,5.35,electronics,high,51.5,26.0,13.5,double_wall_corrugated,5.1,70.7,0.53,0.34,17.5,57.2,46.3,3,2024-02-08
44,28.92,16.42,7.8,2.69,books,medium,35.5,21.0,11.0,standard_corrugated,3.1,45.0,0.26,0.13,24.7,53.0,61.2,4,2024-03-05
45,20.78,22.77,3.9,0.71,books,low,25.0,27.5,6.5,lightweight_cardboard,2.2,45.0,0.21,0.1,21.2,51.7,59.6,4,2023-05-10
46,37.84,26.24,7.92,2.33,toys,high,47.0,33.0,11.0,double_wall_corrugated,6.1,87.9,0.58,0.39,12.9,60.4,41.2,3,2024-09-08
47,30.17,25.34,6.87,2.98,clothing,low,35.5,30.0,9.5,recycled_kraft,2.2,45.0,0.27,0.11,28.7,54.6,70.0,5,2024-08-16
48,24.38,17.39,29.28,3.36,toys,high,32.0,23.0,38.0,double_wall_corrugated,6.2,86.6,0.66,0.44,21.7,63.3,57.3,3,2023-02-19
49,16.22,10.08,5.77,0.75,books,low,19.5,13.0,8.0,lightweight_cardboard,2.3,45.0,0.19,0.09,19.5,51.0,62.2,4,2024-04-14
50,41.83,36.48,15.14,2.01,toys,low,47.5,42.0,18.5,standard_corrugated,4.1,46.3,0.53,0.28,28.2,54.3,65.2,4,2024-04-29
51,23.13,12.96,34.46,3.32,toys,high,30.5,18.0,44.5,double_wall_corrugated,5.5,77.5,0.59,0.37,16.1,58.6,44.7,3,2024-05-12
52,6.31,29.68,10.92,0.77,electronics,high,9.5,37.5,15.0,corrugated,3.9,55.1,0.25,0.15,26.9,56.8,70.1,4,2023-11-28
53,19.07,24.48,4.74,2.3,books,low,23.0,29.0,7.0,standard_corrugated,4.5,54.7,0.27,0.14,22.2,54.9,60.0,4,2023-05-25
54,31.63,28.4,26.78,5.04,toys,medium,40.5,36.5,35.0,heavy_duty_corrugated,7.3,69.4,0.96,0.61,24.9,59.0,52.3,3,2023-07-25
55,11.64,20.76,18.01,2.55,toys,low,16.0,26.0,23.0,standard_corrugated,3.5,45.0,0.27,0.14,12.4,48.0,42.6,4,2023-03-31
56,58.51,44.26,11.35,2.53,clothing,low,67.0,51.0,15.0,recycled_kraft,3.2,45.0,0.58,0.22,22.3,51.8,56.9,5,2024-03-26
57,20.48,12.19,5.07,1.03,electronics,high,28.0,18.0,9.5,corrugated,3.7,50.0,0.25,0.13,21.4,53.2,54.5,4,2023-06-19
58,38.42,27.14,15.2,4.57,electronics,high,50.5,36.5,22.0,double_wall_corrugated,5.4,72.9,0.77,0.47,15.0,56.5,47.5,3,2023-08-26
59,26.11,12.28,7.4,1.97,food,low,30.5,15.5,10.0,food_grade_cardboard,2.8,45.0,0.23,0.11,20.0,51.2,57.1,3,2024-04-07
60,15.9,34.39,6.86,0.2,electronics,high,21.0,43.5,10.5,corrugated,3.6,50.9,0.3,0.17,23.0,54.0,56.9,4,2024-02-04
61,22.1,12.6,4.6,1.22,books,low,27.5,17.0,8.0,standard_corrugated,4.3,50.4,0.23,0.13,17.5,51.7,50.3,4,2023-06-15
62,28.3,13.91,2.09,2.41,books,low,33.5,18.0,5.0,standard_corrugated,3.9,50.3,0.23,0.12,23.1,54.0,60.5,4,2024-10-15
