sustainability_id,material_type,thickness_mm,area_used_sqcm,box_volume_cm3,manufacturing_energy_kwh,transport_energy_kwh,carbon_emission_kg,sustainability_score
1,recycled_kraft,2.5,8488.5,37092.25,0.0,0.117,0.058,84
2,standard_corrugated,4.0,3798.0,14580.0,0.001,0.127,0.063,76
3,double_wall_corrugated,5.7,8573.5,53070.0,0.004,0.167,0.087,50
4,standard_corrugated,3.6,2228.5,6662.5,0.0,0.111,0.052,87
5,standard_corrugated,4.0,2420.0,4537.5,0.001,0.112,0.059,82
6,corrugated,3.9,3435.0,6750.0,0.001,0.096,0.049,90
7,standard_corrugated,3.8,3673.5,13702.5,0.001,0.112,0.054,83
8,double_wall_corrugated,6.8,5238.0,23652.0,0.003,0.118,0.058,77
9,recycled_kraft,3.3,6570.0,26396.5,0.001,0.111,0.053,87
10,heavy_duty_corrugated,6.3,4689.0,21285.0,0.003,0.121,0.058,71
11,lightweight_cardboard,2.5,2317.5,5814.0,0.0,0.119,0.061,78
12,food_grade_cardboard,2.7,3305.5,11455.0,0.0,0.096,0.051,84
13,heavy_duty_corrugated,7.1,6449.5,34542.75,0.005,0.126,0.062,65
14,double_wall_corrugated,6.8,2369.5,6951.75,0.002,0.098,0.046,85
15,standard_corrugated,3.7,4671.5,19146.38,0.001,0.11,0.056,82
16,double_wall_corrugated,5.4,5184.0,24192.0,0.003,0.139,0.075,63
17,standard_corrugated,3.2,3578.0,13728.0,0.001,0.113,0.055,83
18,recycled_kraft,2.3,7788.0,39312.0,0.0,0.138,0.068,73
19,corrugated,4.8,5777.5,28952.0,0.001,0.139,0.072,67
20,recycled_kraft,2.7,2486.0,7644.0,0.0,0.096,0.047,94
21,lightweight_cardboard,1.9,1175.5,1794.38,0.0,0.101,0.047,89
22,corrugated,4.1,8458.0,38430.0,0.002,0.136,0.072,67
23,double_wall_corrugated,6.3,3558.0,13104.0,0.002,0.116,0.061,75
24,food_grade_cardboard,3.3,7012.0,39440.0,0.001,0.16,0.082,55
25,standard_corrugated,3.7,2060.5,4478.5,0.0,0.113,0.059,80
26,corrugated,3.6,4354.0,14220.0,0.001,0.111,0.058,80
27,standard_corrugated,3.6,2576.0,8407.5,0.0,0.119,0.057,79
28,standard_corrugated,3.6,7630.0,41937.5,0.001,0.128,0.064,76
29,double_wall_corrugated,6.3,2252.5,5562.5,0.001,0.091,0.044,92
30,recycled_kraft,2.9,2264.5,7031.5,0.0,0.098,0.046,94
31,double_wall_corrugated,6.9,6189.0,28475.0,0.004,0.122,0.066,70
32,corrugated,3.7,5273.0,25623.0,0.001,0.126,0.068,75
33,standard_corrugated,3.8,8054.5,49078.75,0.002,0.154,0.084,59
34,standard_corrugated,3.9,4831.5,22570.62,0.001,0.138,0.071,71
35,recycled_kraft,3.4,5747.0,12870.0,0.0,0.113,0.054,83
36,double_wall_corrugated,6.6,2015.0,5106.0,0.001,0.105,0.05,85
37,double_wall_corrugated,6.0,4633.5,17971.88,0.003,0.102,0.056,82
38,lightweight_cardboard,1.9,1755.5,3592.88,0.0,0.089,0.045,92
39,double_wall_corrugated,6.1,4932.0,22680.0,0.003,0.125,0.066,70
40,lightweight_cardboard,2.2,2875.5,6641.38,0.0,0.105,0.055,84
41,recycled_kraft,2.7,4754.5,19016.75,0.0,0.131,0.068,76
42,recycled_kraft,3.5,4246.0,13794.0,0.0,0.102,0.054,89
43,heavy_duty_corrugated,6.6,3173.5,10212.75,0.002,0.095,0.045,88
44,corrugated,4.2,1985.5,5531.5,0.0,0.104,0.054,85
45,double_wall_corrugated,5.3,7279.5,40468.5,0.003,0.129,0.071,67
46,recycled_kraft,3.2,8786.0,44730.0,0.001,0.125,0.061,79
47,corrugated,3.6,6088.0,31824.0,0.001,0.141,0.073,70
48,standard_corrugated,4.0,2475.5,8352.75,0.001,0.096,0.047,91
49,standard_corrugated,4.4,2879.5,8097.75,0.001,0.112,0.061,81
50,heavy_duty_corrugated,7.1,7063.0,39690.0,0.005,0.131,0.064,64
